
2,DI Central Inbound 850dvsin,06-06-2024 19 23 27,FluentFTP.FtpException: Error while creating directories. See InnerException for more info. ---> System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\in\dvs'   at System.IO.FileSystem.CreateDirectory(String fullPath Byte[] securityDescriptor)   at System.IO.Directory.CreateDirectory(String path)   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   --- End of inner exception stack trace ---   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   at FluentFTP.FtpClient.DownloadFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress)   at FTPHandlerService.FtpRequestProcessor.DownloadFilesAndSaveToDirectory(String FtpHost String FtpUser String FtpPassword String FtpDirectory String FileExtension String DownloadTo Boolean DeleteFilesAfterDownload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 271
3,DI Central - Sxe60 856out,06-06-2024 19 23 30,Failed
4,Di Central - Sxe60 857out,06-06-2024 19 23 31,Failed
5,DI Central - Sxe60 855out,06-06-2024 19 23 32,Failed
6,DI Central - Sxe60 846out,06-06-2024 19 23 32,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\out\846'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
7,OOCL - OOCL Post Advice,06-06-2024 19 23 34,File Not found.
9,OOCL - Sxe60 850out OOCL,06-06-2024 19 23 37,Failed
10,3PL - ShippingOrdersOW_out,06-06-2024 19 23 37,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
12,Regal - ShippingOrdersREGA_out,06-06-2024 19 23 41,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
14,DI Central - Sxe60 810out,06-06-2024 19 23 51,Failed
3,DI Central - Sxe60 856out,06-06-2024 19 34 58,Failed
4,Di Central - Sxe60 857out,06-06-2024 19 35 00,Failed
5,DI Central - Sxe60 855out,06-06-2024 19 35 01,Failed
6,DI Central - Sxe60 846out,06-06-2024 19 35 01,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\out\846'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
7,OOCL - OOCL Post Advice,06-06-2024 19 35 02,File Not found.
9,OOCL - Sxe60 850out OOCL,06-06-2024 19 35 05,Failed
10,3PL - ShippingOrdersOW_out,06-06-2024 19 35 05,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
12,Regal - ShippingOrdersREGA_out,06-06-2024 19 35 10,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
14,DI Central - Sxe60 810out,06-06-2024 19 35 20,Failed
2,DI Central Inbound 850dvsin,06-06-2024 19 40 45,FluentFTP.FtpException: Error while creating directories. See InnerException for more info. ---> System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\in\dvs'   at System.IO.FileSystem.CreateDirectory(String fullPath Byte[] securityDescriptor)   at System.IO.Directory.CreateDirectory(String path)   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   --- End of inner exception stack trace ---   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   at FluentFTP.FtpClient.DownloadFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress)   at FTPHandlerService.FtpRequestProcessor.DownloadFilesAndSaveToDirectory(String FtpHost String FtpUser String FtpPassword String FtpDirectory String FileExtension String DownloadTo Boolean DeleteFilesAfterDownload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 271
3,DI Central - Sxe60 856out,06-06-2024 19 40 49,Failed
4,Di Central - Sxe60 857out,06-06-2024 19 40 52,Failed
5,DI Central - Sxe60 855out,06-06-2024 19 40 54,Failed
6,DI Central - Sxe60 846out,06-06-2024 19 40 54,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\out\846'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
7,OOCL - OOCL Post Advice,06-06-2024 19 40 57,File Not found.
9,OOCL - Sxe60 850out OOCL,06-06-2024 19 41 02,Failed
10,3PL - ShippingOrdersOW_out,06-06-2024 19 41 03,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
12,Regal - ShippingOrdersREGA_out,06-06-2024 19 41 10,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
14,DI Central - Sxe60 810out,06-06-2024 19 41 25,Failed
2,DI Central Inbound 850dvsin,06-06-2024 19 48 31,FluentFTP.FtpException: Error while creating directories. See InnerException for more info. ---> System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\in\dvs'   at System.IO.FileSystem.CreateDirectory(String fullPath Byte[] securityDescriptor)   at System.IO.Directory.CreateDirectory(String path)   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   --- End of inner exception stack trace ---   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   at FluentFTP.FtpClient.DownloadFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress)   at FTPHandlerService.FtpRequestProcessor.DownloadFilesAndSaveToDirectory(String FtpHost String FtpUser String FtpPassword String FtpDirectory String FileExtension String DownloadTo Boolean DeleteFilesAfterDownload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 271
3,DI Central - Sxe60 856out,06-06-2024 19 48 33,Failed
4,Di Central - Sxe60 857out,06-06-2024 19 48 35,Failed
5,DI Central - Sxe60 855out,06-06-2024 19 48 37,Failed
6,DI Central - Sxe60 846out,06-06-2024 19 48 38,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\out\846'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
7,OOCL - OOCL Post Advice,06-06-2024 19 48 41,File Not found.
9,OOCL - Sxe60 850out OOCL,06-06-2024 19 48 46,Failed
10,3PL - ShippingOrdersOW_out,06-06-2024 19 48 47,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
12,Regal - ShippingOrdersREGA_out,06-06-2024 19 48 53,System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\3pl\out'   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path Boolean ignoreNotFound)   at System.IO.Enumeration.FileSystemEnumerator`1.Init()   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory Boolean isNormalized EnumerationOptions options)   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory FindTransform transform EnumerationOptions options Boolean isNormalized)   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory String expression EnumerationOptions options)   at System.IO.Directory.InternalEnumeratePaths(String path String searchPattern SearchTarget searchTarget EnumerationOptions options)   at System.IO.Directory.GetFiles(String path String searchPattern EnumerationOptions enumerationOptions)   at System.IO.Directory.GetFiles(String path String searchPattern)   at FTPHandlerService.FtpRequestProcessor.UploadFilesToFtp(String FtpHost String FtpUser String FtpPassword String folderPath String fileExtension String FtpDirectory Boolean DeleteFileAfterUpload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 720
14,DI Central - Sxe60 810out,06-06-2024 19 49 04,Failed
2,DI Central Inbound 850dvsin,06-06-2024 19 52 03,FluentFTP.FtpException: Error while creating directories. See InnerException for more info. ---> System.IO.IOException: The network path was not found. : '\\Ipwsxap01\e\NxT\rd\edi\ipi\in\dvs'   at System.IO.FileSystem.CreateDirectory(String fullPath Byte[] securityDescriptor)   at System.IO.Directory.CreateDirectory(String path)   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   --- End of inner exception stack trace ---   at FluentFTP.FtpClient.DownloadFileToFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress FtpProgress metaProgress)   at FluentFTP.FtpClient.DownloadFile(String localPath String remotePath FtpLocalExists existsMode FtpVerify verifyOptions Action`1 progress)   at FTPHandlerService.FtpRequestProcessor.DownloadFilesAndSaveToDirectory(String FtpHost String FtpUser String FtpPassword String FtpDirectory String FileExtension String DownloadTo Boolean DeleteFilesAfterDownload Boolean keepBackUp String backUpLocation String filePrefix String fileSuffix Boolean timestampBackupFile String mergeToFile String renameFileInDestination Boolean timeStampDestinationFile) in E:\DotNetProject\FTPHandlerService\FtpRequestProcessor.cs:line 271
3,DI Central - Sxe60 856out,06-06-2024 19 52 05,Failed
4,Di Central - Sxe60 857out,06-06-2024 19 52 06,Failed
5,DI Central - Sxe60 855out,06-06-2024 19 52 08,Failed
